runtime,theta,theta,theta,theta,theta,theta,theta,theta,speed,speed,speed,speed,speed,speed,speed,speed,tau,tau,tau,tau,tau,tau,tau,tau,torque,torque,torque,torque,torque,torque,torque,torque,thread_timer,temp,temp,temp,temp,temp,temp,temp,temp
480,0.589347,4.567453,0.996374,3.99158,0.895568,1.121618,0.806235,1.75136,-1.937315,1.17131,-2.043974,1.070469,1.204762,-1.70412,1.213973,1.586795,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,12,31,4,32,-20,-29,-23,33,3.03972,26,25,26,26,27,27,27,27
490,0.583456,4.57132,0.990195,3.995063,0.910567,1.100685,0.821489,1.770716,-1.702666,1.208156,-1.815142,1.14416,1.117011,-1.77054,1.139797,1.628489,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,-1,34,3,38,-31,-29,-22,37,3.374167,26,25,26,26,27,27,27,27
500,0.578492,4.575091,0.984858,3.998813,0.923829,1.078272,0.835135,1.79151,-1.522315,1.281847,-1.650306,1.245002,1.031684,-1.809325,1.053015,1.681334,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,4,40,0,36,-23,-29,-23,33,3.064565,26,25,26,26,27,27,27,27
510,0.573922,4.579469,0.979649,4.00318,0.935952,1.054208,0.848653,1.814988,-1.324511,1.415656,-1.473834,1.320632,0.929388,-1.880107,0.969143,1.766661,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,5,30,13,36,-18,-30,-18,32,2.965494,26,25,26,26,27,27,27,27
520,0.570151,4.584103,0.97558,4.007335,0.947276,1.030208,0.859615,1.836634,-1.122828,1.512619,-1.260516,1.400142,0.826607,-1.944103,0.874604,1.826778,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,6,32,2,40,-23,-32,-24,37,3.056574,26,25,26,26,27,27,27,27
530,0.567168,4.588748,0.972128,4.011575,0.956192,1.007379,0.86949,1.858824,-0.915328,1.549465,-1.080165,1.448623,0.748067,-2.003735,0.796064,1.864109,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,1,45,11,35,-21,-30,-21,32,3.144531,26,25,26,26,27,27,27,27
540,0.56475,4.593776,0.969124,4.016273,0.964831,0.981046,0.878854,1.882601,-0.713646,1.671638,-0.899814,1.555282,0.654983,-2.050277,0.71607,1.915984,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,3,37,14,38,-22,-29,-23,28,3.082612,26,25,26,26,27,27,27,27
550,0.562896,4.599166,0.966557,4.021343,0.972373,0.953743,0.887078,1.90708,-0.521659,1.772479,-0.771823,1.656124,0.572565,-2.138513,0.622986,1.980949,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,7,38,12,39,-20,-27,-24,29,3.035398,26,25,26,26,27,27,27,27
560,0.561607,4.604908,0.964586,4.026627,0.978839,0.927655,0.893906,1.933339,-0.33937,1.842292,-0.595351,1.702666,0.485783,-2.201054,0.544446,2.035733,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,2,37,26,40,-21,-27,-25,30,3.183864,26,25,26,26,27,27,27,27
570,0.560819,4.610798,0.963031,4.031793,0.984017,0.899819,0.900074,1.956988,-0.190047,1.927619,-0.451846,1.772479,0.399002,-2.246142,0.46736,2.079851,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,4,41,13,48,-20,-30,-24,29,4.196122,26,25,26,26,27,27,27,27
580,0.560542,4.616743,0.961976,4.037567,0.988469,0.87111,0.905421,1.984546,-0.046542,2.022643,-0.271496,1.90047,0.303493,-2.331469,0.375246,2.153058,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,31,32,8,30,-20,-31,-26,36,3.080085,26,25,26,26,27,27,27,27
590,0.560659,4.625595,0.961358,4.045588,0.992517,0.831642,0.910588,2.023034,0.083388,2.086638,-0.058178,1.937315,0.200713,-2.423099,0.263254,2.227719,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,35,39,26,44,-21,-34,-26,33,3.682184,26,25,26,26,27,27,27,27
600,0.561107,4.632114,0.961358,4.052022,0.994169,0.801069,0.913081,2.050145,0.153201,2.230143,0.009696,2.071124,0.10375,-2.468671,0.178411,2.282018,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,36,34,30,43,-22,-30,-22,34,3.100172,26,25,26,26,27,27,27,27
610,0.561863,4.64069,0.961816,4.059778,0.994712,0.763071,0.914934,2.084148,0.228832,2.311592,0.168715,2.204933,0,-2.570967,0.084842,2.378011,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,40,34,33,30,-18,-40,-18,42,3.11827,26,25,26,26,27,27,27,27
620,0.562747,4.647997,0.962424,4.066553,0.993987,0.731944,0.915371,2.113156,0.318038,2.385283,0.217197,2.177783,-0.087751,-2.606843,0.006303,2.432795,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,37,42,34,49,-22,-38,-25,40,3.080105,26,25,26,26,27,27,27,27
630,0.563845,4.655369,0.963265,4.073296,0.992453,0.700348,0.914796,2.145113,0.393669,2.49776,0.302524,2.299956,-0.148838,-2.657749,-0.073207,2.479337,-11.703055,-62.5,-11.703055,-62.5,-11.703055,-62.5,-11.703055,-62.5,43,32,36,28,-24,-35,-22,36,3.034435,26,25,26,26,27,27,27,27
640,0.565347,4.663476,0.96433,4.080955,0.990131,0.66528,0.913443,2.175537,0.49451,2.52297,0.360701,2.358134,-0.2075,-2.721744,-0.134293,2.56321,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,39,40,40,39,-28,-29,-24,33,3.066117,26,25,26,26,27,27,27,27
650,0.566966,4.67138,0.965566,4.08805,0.987255,0.633876,0.911451,2.206526,0.574019,2.678111,0.440211,2.394979,-0.254042,-2.741621,-0.189077,2.585511,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,37,34,48,37,-32,-27,-27,30,3.057895,26,25,26,26,27,27,27,27
660,0.568819,4.679465,0.966994,4.095805,0.983921,0.597561,0.908713,2.239134,0.579837,2.726592,0.457664,2.49776,-0.284586,-2.830827,-0.223499,2.64175,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,10,24,21,34,-13,-29,-7,30,3.232397,26,25,26,26,27,27,27,27
670,0.570364,4.688552,0.968176,4.103432,0.98048,0.563217,0.906135,2.271198,0.457664,2.842947,0.33937,2.571452,-0.243376,-2.87446,-0.203622,2.686837,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-4,37,4,42,9,-33,8,31,4.09015,26,25,26,26,27,27,27,27
680,0.571419,4.697138,0.968922,4.111901,0.978019,0.525379,0.903983,2.306406,0.25986,2.858461,0.159019,2.672293,-0.183744,-2.93991,-0.136717,2.725622,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-15,43,-2,39,4,-20,17,30,3.062214,26,25,26,26,27,27,27,27
690,0.571909,4.70941,0.969167,4.122692,0.97591,0.477847,0.902545,2.353703,0.046542,3.029116,0,2.726592,-0.082418,-2.974332,-0.048966,2.822585,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-30,31,-27,43,18,-18,24,31,3.552309,26,25,26,26,27,27,27,27
700,0.571749,4.719264,0.968901,4.131854,0.975548,0.439252,0.902407,2.387845,-0.110538,3.067901,-0.143505,2.864279,0,-2.982574,0.003879,2.858461,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-26,35,-31,36,19,-19,25,36,3.09176,26,25,26,26,27,27,27,27
710,0.571227,4.729874,0.968219,4.141612,0.976261,0.397121,0.903301,2.430136,-0.190047,3.14741,-0.244346,2.928275,0.084842,-3.002451,0.084842,2.957363,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-29,46,-30,35,19,-17,28,19,3.317566,26,25,26,26,27,27,27,27
720,0.570524,4.740249,0.967228,4.151316,0.977785,0.359762,0.904835,2.464256,-0.254042,3.275401,-0.356823,2.998088,0.143505,-2.977241,0.154171,2.968029,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-41,38,-29,39,23,-12,28,28,3.303808,26,25,26,26,27,27,27,27
730,0.569458,4.751371,0.965896,4.16166,0.980565,0.31924,0.907605,2.505929,-0.33937,3.312247,-0.424697,3.104747,0.224954,-3.003906,0.225923,3.00633,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-41,44,-37,34,26,-9,32,16,3.545504,26,25,26,26,27,27,27,27
740,0.568276,4.761885,0.96432,4.172312,0.98407,0.279004,0.910982,2.546686,-0.403365,3.407271,-0.515842,3.162925,0.292827,-2.963666,0.284586,3.013117,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-36,36,-43,45,25,-5,30,28,3.766032,26,25,26,26,27,27,27,27
